rent_euro,year,half,half_year,time_period,county,province,area,location,property_type,bedrooms,bedrooms_num,is_dublin,is_city,is_county_aggregate,latitude,longitude
1239.46,2020,1,2020H1,1,Dublin,Leinster,Tallaght,"Tallaght, Dublin 24",Apartment,One bed,1,TRUE,TRUE,FALSE,53.3498,-6.2603
812.3,2020,1,2020H1,1,Galway,Connacht,Galway,Galway,Apartment,One bed,1,FALSE,FALSE,TRUE,53.2707,-9.0568
905.46,2020,1,2020H1,1,Galway,Connacht,Galway City,Galway City,Apartment,One bed,1,FALSE,TRUE,FALSE,53.2707,-9.0568
621.18,2020,1,2020H1,1,Kerry,Munster,Kerry,Kerry,Apartment,One bed,1,FALSE,FALSE,TRUE,52.1545,-9.5669
718.72,2020,1,2020H1,1,Kerry,Munster,Killarney,"Killarney, Kerry",Apartment,One bed,1,FALSE,FALSE,FALSE,52.1545,-9.5669
615.16,2020,1,2020H1,1,Kerry,Munster,Tralee,"Tralee, Kerry",Apartment,One bed,1,FALSE,FALSE,FALSE,52.1545,-9.5669
952.88,2020,1,2020H1,1,Kildare,Leinster,Kildare,Kildare,Apartment,One bed,1,FALSE,FALSE,TRUE,53.1589,-6.9099
834.81,2020,1,2020H1,1,Kildare,Leinster,Kildare Town,Kildare Town,Apartment,One bed,1,FALSE,FALSE,FALSE,53.1589,-6.9099
956.29,2020,1,2020H1,1,Kildare,Leinster,Clane,"Clane, Kildare",Apartment,One bed,1,FALSE,FALSE,FALSE,53.1589,-6.9099
955.24,2020,1,2020H1,1,Kildare,Leinster,Kilcock,"Kilcock, Kildare",Apartment,One bed,1,FALSE,FALSE,FALSE,53.1589,-6.9099
1108.34,2020,1,2020H1,1,Kildare,Leinster,Leixlip,"Leixlip, Kildare",Apartment,One bed,1,FALSE,FALSE,FALSE,53.1589,-6.9099
1154.82,2020,1,2020H1,1,Kildare,Leinster,Maynooth,"Maynooth, Kildare",Apartment,One bed,1,FALSE,FALSE,FALSE,53.1589,-6.9099
1007.61,2020,1,2020H1,1,Kildare,Leinster,Naas,"Naas, Kildare",Apartment,One bed,1,FALSE,FALSE,FALSE,53.1589,-6.9099
834.99,2020,1,2020H1,1,Kildare,Leinster,Newbridge,"Newbridge, Kildare",Apartment,One bed,1,FALSE,FALSE,FALSE,53.1589,-6.9099
674.44,2020,1,2020H1,1,Kilkenny,Leinster,Kilkenny,Kilkenny,Apartment,One bed,1,FALSE,FALSE,TRUE,52.6541,-7.2448
630.07,2020,1,2020H1,1,Laois,Leinster,Laois,Laois,Apartment,One bed,1,FALSE,FALSE,TRUE,53.0349,-7.299
459.29,2020,1,2020H1,1,Leitrim,Connacht,Leitrim,Leitrim,Apartment,One bed,1,FALSE,FALSE,TRUE,54.1255,-8.0597
466.47,2020,1,2020H1,1,Leitrim,Connacht,Carrick-On-Shannon,"Carrick-On-Shannon, Leitrim",Apartment,One bed,1,FALSE,FALSE,FALSE,54.1255,-8.0597
757.42,2020,1,2020H1,1,Limerick,Munster,Limerick,Limerick,Apartment,One bed,1,FALSE,FALSE,TRUE,52.6638,-8.6267
789.07,2020,1,2020H1,1,Limerick,Munster,Limerick City,Limerick City,Apartment,One bed,1,FALSE,TRUE,FALSE,52.6638,-8.6267
513.04,2020,1,2020H1,1,Longford,Leinster,Longford,Longford,Apartment,One bed,1,FALSE,FALSE,TRUE,53.7275,-7.7932
514.81,2020,1,2020H1,1,Longford,Leinster,Longford Town,Longford Town,Apartment,One bed,1,FALSE,FALSE,FALSE,53.7275,-7.7932
850.78,2020,1,2020H1,1,Louth,Leinster,Louth,Louth,Apartment,One bed,1,FALSE,FALSE,TRUE,53.9252,-6.4889
