rent_euro,year,half,half_year,time_period,county,province,area,location,property_type,bedrooms,bedrooms_num,is_dublin,is_city,is_county_aggregate,latitude,longitude,bedrooms_max
1286.75,2020,1,2020H1,1,Dublin,Leinster,Rialto,"Rialto, Dublin 8",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1304.04,2020,1,2020H1,1,Dublin,Leinster,South Circular Road,"South Circular Road, Dublin 8",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1306.61,2020,1,2020H1,1,Dublin,Leinster,Dublin 9,Dublin 9,Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1266.59,2020,1,2020H1,1,Dublin,Leinster,Drumcondra,"Drumcondra, Dublin 9",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1201.26,2020,1,2020H1,1,Dublin,Leinster,Glasnevin,"Glasnevin, Dublin 9",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1380.25,2020,1,2020H1,1,Dublin,Leinster,Santry,"Santry, Dublin 9",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1293.1,2020,1,2020H1,1,Dublin,Leinster,Dublin 11,Dublin 11,Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1221.49,2020,1,2020H1,1,Dublin,Leinster,Finglas,"Finglas, Dublin 11",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1283.97,2020,1,2020H1,1,Dublin,Leinster,Dublin 12,Dublin 12,Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1401.05,2020,1,2020H1,1,Dublin,Leinster,Dublin 13,Dublin 13,Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1374.43,2020,1,2020H1,1,Dublin,Leinster,Clongriffin,"Clongriffin, Dublin 13",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1589.91,2020,1,2020H1,1,Dublin,Leinster,Dublin 14,Dublin 14,Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1821.01,2020,1,2020H1,1,Dublin,Leinster,Churchtown,"Churchtown, Dublin 14",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1535.76,2020,1,2020H1,1,Dublin,Leinster,Dundrum,"Dundrum, Dublin 14",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1382.42,2020,1,2020H1,1,Dublin,Leinster,Rathfarnham,"Rathfarnham, Dublin 14",Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
1340.35,2020,1,2020H1,1,Dublin,Leinster,Dublin 15,Dublin 15,Apartment,One bed,1.0,True,True,False,53.3498,-6.2603,1
